SIRKET;kanal;YANGIN;SIVIL;TICARI;SIANI;ZORUNLU_DEPREM;IHTIYARI_DEPREM;SEL;depremveseldisindakidogal;nukleerenerji;toprakkaymasi;patlama;toplam
Mapfre Ya?am Sigorta A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;3806066.158
Metlife Emeklilik ve Hayat A?;Acente;0;0;0;0;0;0;0;0;0;0;0;1796523.35
Metlife Emeklilik ve Hayat A?;Banka;0;0;0;0;0;0;0;0;0;0;0;72621274.79
Metlife Emeklilik ve Hayat A?;Broker;0;0;0;0;0;0;0;0;0;0;0;3694071.36
Metlife Emeklilik ve Hayat A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;-2268.25
Metlife Emeklilik ve Hayat A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;1173822.61
Metlife Emeklilik ve Hayat A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;79283423.86
NN Hayat ve Emeklilik A?;Acente;0;0;0;0;0;0;0;0;0;0;0;794858.57
NN Hayat ve Emeklilik A?;Banka;0;0;0;0;0;0;0;0;0;0;0;14444110.06
NN Hayat ve Emeklilik A?;Broker;0;0;0;0;0;0;0;0;0;0;0;0
NN Hayat ve Emeklilik A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
NN Hayat ve Emeklilik A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;-40142.63
NN Hayat ve Emeklilik A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;15198826
Neova Sigorta A?;Acente;1596663.4;100927.4;274822;1220914;1521822;2245944;18137;17583;0;22131;0;105498860.4
Neova Sigorta A?;Banka;1820152.56;1312477.56;336737;170938;1650722;2732321;29388;21813;0;24893;0;13523345.56
Neova Sigorta A?;Broker;914;0;0;914;1445;362;8;8;0;8;0;15430
Neova Sigorta A?;Di?er;19765;0;0;19765;0;51030;365;365;0;365;0;8815956
Neova Sigorta A?;Merkez;6709;5936;760;13;11857;11599;122;109;0;109;0;93581.14
Neova Sigorta A?;Toplam;3444203.96;1419340.96;612319;1412544;3185846;5041256;48020;39878;0;47506;0;127947173.1
Orient Sigorta A?;Acente;244677.31;70977.4;153693.28;20006.63;210741.26;0;0;0;0;0;0;10813593.96
Orient Sigorta A?;Banka;7204.36;0;0;7204.36;0;0;0;0;0;0;0;8386.84
Orient Sigorta A?;Broker;142590.19;949.24;32071.18;109569.77;0;0;0;0;0;0;0;666353.5
Orient Sigorta A?;Di?er;442099.29;0;143189.54;298909.75;0;0;0;0;0;0;0;530684.81
Orient Sigorta A?;Merkez;662314.82;662314.82;0;0;714.23;0;0;0;0;0;0;5347492.12
Orient Sigorta A?;Toplam;1498885.97;734241.46;328954;435690.51;211455.49;0;0;0;0;0;0;17366511.23
Quick Sigorta A?;Acente;289072.45;20513.92;258255.55;10302.98;351834.08;1352614.93;22042.04;0;0;7130.42;0;86885294.67
Quick Sigorta A?;Banka;0;0;0;0;0;0;0;0;0;0;0;-6476.17
Quick Sigorta A?;Broker;0;0;0;0;700.23;501176.5863;11919.1202;0;0;4680.1102;0;4034631.59
Quick Sigorta A?;Di?er;174.57;174.57;0;0;3601.79;270.24;10.08;0;0;6.72;0;214240.9251
Quick Sigorta A?;Merkez;324.57;140;184.57;0;121.51;6020.49;33.05;0;0;3.03;0;171578.66
Quick Sigorta A?;Toplam;289571.59;20828.49;258440.12;10302.98;356257.61;1860082.246;34004.2902;0;0;11820.2802;0;91299269.67
Ray Sigorta A?;Acente;3749004.42;294626.5157;2958760.504;495617.4006;1075151.43;7532039.97;538391.89;1031127.76;0;537731.49;0;55630906.73
Ray Sigorta A?;Banka;9715.77;763.5423013;7667.805454;1284.422245;10515.86;30021.85;148.93;297.86;0;153.38;0;91690.2
Ray Sigorta A?;Broker;1791056;140755.3925;1413523.474;236777.1332;117235.92;6303830.2;168109.41;296370.66;0;157746.8;0;21811194.65
Ray Sigorta A?;Di?er;10484.8;823.978781;8274.73341;1386.087809;344.19;13514.76;124.64;249.28;0;124.56;0;5355718.94
Ray Sigorta A?;Merkez;284341.07;22345.77753;224405.4776;37589.81485;37579.96;146574.21;72929.7;84724.66;0;42380.11;0;2412010.35
Ray Sigorta A?;Toplam;5844602.06;459315.2068;4612631.994;772654.8588;1240827.36;14025980.99;779704.57;1412770.22;0;738136.34;0;85301520.87
SS Atlas Kar??l?kl? Sigorta Kooperatifi;Acente;21373.9;2790.98;5353.1;13229.82;32093.28;61811.03;337.43;0;0;0;0;5227310.36
SS Atlas Kar??l?kl? Sigorta Kooperatifi;Banka;0;0;0;0;0;0;0;0;0;0;0;0
SS Atlas Kar??l?kl? Sigorta Kooperatifi;Broker;0;0;0;0;0;0;0;0;0;0;0;121793.59
SS Atlas Kar??l?kl? Sigorta Kooperatifi;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
SS Atlas Kar??l?kl? Sigorta Kooperatifi;Merkez;393.89;75.9;317.99;0;0;2910.15;15.24;0;0;0;0;1018064.42
SS Atlas Kar??l?kl? Sigorta Kooperatifi;Toplam;21767.79;2866.88;5671.09;13229.82;32093.28;64721.18;352.67;0;0;0;0;6367168.37
Sompo Japan Sigorta A?;Acente;5734377.897;668209.1;882703.761;4183465.036;1623130.06;9180084.7;575975.5919;545969.3729;0;572941.2392;0;193169112.8
Sompo Japan Sigorta A?;Banka;931447.5121;522433.3868;287311.6835;121702.4418;970602.14;2568110.149;77249.51029;26302.46276;0;26214.7928;0;7890503.804
Sompo Japan Sigorta A?;Broker;2780765.776;24364.61291;1433860.463;1322540.7;22996.25;5878191.131;231944.2617;208350.4523;0;228769.9169;0;31762285.14
Sompo Japan Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;14063986.09
Sompo Japan Sigorta A?;Merkez;1755412.264;5580.34;9654.553137;1740177.371;16973.70977;1379593.711;351311.0949;438549.7937;0;340892.316;0;6838858.778
Sompo Japan Sigorta A?;Toplam;11202003.45;1220587.44;2613530.461;7367885.549;2633702.16;19005979.69;1236480.459;1219172.082;0;1168818.265;0;253724746.6
Türk Nippon Sigorta A?;Acente;161033;28211;124348;8474;562737;1023146;40104.5;0;0;0;0;47226934.72
Türk Nippon Sigorta A?;Banka;0;0;0;0;0;0;0;0;0;0;0;0
Türk Nippon Sigorta A?;Broker;164066;21662;130212;12192;360360;785069;119278;0;0;0;0;11751952.59
Türk Nippon Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;4984074
Türk Nippon Sigorta A?;Merkez;9871;420;9451;0;2453;11536;610;0;0;0;0;737896.09
Türk Nippon Sigorta A?;Toplam;334970;50293;264011;20666;925550;1819751;159992.5;0;0;0;0;64700857.4
Türk P&I Sigorta A?;Acente;0;0;0;0;0;0;0;0;0;0;0;327014.33
Türk P&I Sigorta A?;Banka;0;0;0;0;0;0;0;0;0;0;0;0
Türk P&I Sigorta A?;Broker;0;0;0;0;0;0;0;0;0;0;0;4403245.51
Türk P&I Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;247871.36
Türk P&I Sigorta A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;-7834.86
Türk P&I Sigorta A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;4970296.34
Unico Sigorta A?;Acente;3793013.87;609310.81;2515354.69;668348.37;1047843.84;0;18484.55;14346.78;0;12623.96;0;27528157.54
Unico Sigorta A?;Banka;243929.26;185053.5;40440.02;18435.74;733904.53;0;5979.63;5504.88;0;2396.09;0;1093279.01
Unico Sigorta A?;Broker;4151071.46;125126.75;1509882.72;2516061.99;36620.21;0;27969.38;26739.93;0;26595.34;0;10917682.43
Unico Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;1633729.03
Unico Sigorta A?;Merkez;892233.56;1278.7;231221.87;659732.99;635.85;0;23839.53;24884.01;0;23213.14;0;2126877.94
Unico Sigorta A?;Toplam;9080248.15;920769.76;4296899.3;3862579.09;1819004.43;0;76273.09;71475.6;0;64828.53;0;43299725.95
Vak?f Emeklilik ve Hayat A?;Acente;0;0;0;0;0;0;0;0;0;0;0;88184.78001
Vak?f Emeklilik ve Hayat A?;Banka;0;0;0;0;0;0;0;0;0;0;0;49542098.46
Vak?f Emeklilik ve Hayat A?;Broker;0;0;0;0;0;0;0;0;0;0;0;0
Vak?f Emeklilik ve Hayat A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Vak?f Emeklilik ve Hayat A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;1024383.43
Vak?f Emeklilik ve Hayat A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;50654666.67
Ziraat Hayat ve Emeklilik A?;Acente;0;0;0;0;0;0;0;0;0;0;0;504.29
Ziraat Hayat ve Emeklilik A?;Banka;0;0;0;0;0;0;0;0;0;0;0;131964987.9
Ziraat Hayat ve Emeklilik A?;Broker;0;0;0;0;0;0;0;0;0;0;0;53764.09
Ziraat Hayat ve Emeklilik A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Ziraat Hayat ve Emeklilik A?;Merkez;0;0;0;0;0;0;0;0;0;0;0;10574826.07
Ziraat Hayat ve Emeklilik A?;Toplam;0;0;0;0;0;0;0;0;0;0;0;142594082.4
Ziraat Sigorta A?;Acente;9086.514162;738.84;8930.653895;-582.979733;622.32;68451.7525;1096.817512;-0.544615;0;74.064697;0;340833.6079
Ziraat Sigorta A?;Banka;12902988.66;11444132.28;1204129.41;254726.97;9231345.43;5159736.407;1204416.132;99062.15462;0;559799.5553;0;225869765.2
Ziraat Sigorta A?;Broker;0;0;0;0;0;0;0;0;0;0;0;23058.94
Ziraat Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Ziraat Sigorta A?;Merkez;105900.87;8451.76;14856.67;82592.44;6780.22;724609.23;3165.4;1652.49;0;2128.29;0;33520937.33
Ziraat Sigorta A?;Toplam;13017976.04;11453322.88;1227916.734;336736.4303;9238747.97;5952797.39;1208678.35;100714.1;0;562001.91;0;259754595.1
Zurich Sigorta A?;Acente;2372912.93;138807.95;1735942.44;498162.54;13313.13;0;0;0;0;0;0;9016103.28
Zurich Sigorta A?;Banka;9235245.19;3399769.67;5546812.95;288662.57;1469941.82;0;0;0;0;0;0;30487087.43
Zurich Sigorta A?;Broker;2590814.31;2871.18;2355349.26;232593.87;7460.28;0;0;0;0;0;0;13120309.22
Zurich Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
Zurich Sigorta A?;Merkez;3914822.6;4907.64;1979033.9;1930881.06;1455.02;0;0;0;0;0;0;10486217.21
Zurich Sigorta A?;Toplam;18113795.03;3546356.44;11617138.55;2950300.04;1492170.25;0;0;0;0;0;0;63109717.14
?eker Sigorta A?;Acente;653428.86;408964.75;244464.11;0;128011.7;136172.14;20061.7;26563.88;0;14604.53;0;6720039.32
?eker Sigorta A?;Banka;145609.13;629.65;77122.53;67856.95;284986.97;810734.98;30078.99;44067.83;0;22385.16;0;5935489.47
?eker Sigorta A?;Broker;62802.73;402.97;55193.81;7205.95;0;1373116.14;24100.53;43784.67;0;20898.11;0;2517476.54
?eker Sigorta A?;Di?er;0;0;0;0;0;0;0;0;0;0;0;0
?eker Sigorta A?;Merkez;187434.38;18267.19;166197.29;2969.9;2121.06;688637.13;9380.34;14512.66;0;7664.7;0;7744485.59
?eker Sigorta A?;Toplam;1049275.1;428264.56;542977.74;78032.8;415119.73;3008660.39;83621.56;128929.04;0;65552.5;0;22917490.92
